"pvp","referencia","controlstock","imagen","codfamilia","codsubcuentairpfcom","descripcion","codsubcuentacom","tipocodbarras","costemedio","stockmax","stockfis","codimpuesto","codbarras","observaciones","stockmin","idsubcuentacom","idsubcuentairpfcom"
"0.0000000","IP-1900","1",,"IMP",,"Impresora canon",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IP-2600","1",,"IMP",,"Impresora",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IP-2700","1",,"IMP",,"Impresora canon",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"3.5000000","IP-35-6","0",NULL,"EXT",NULL,"Extencion 3.5 a 2rca AUDIO PIPE",NULL,"Code39",NULL,"0.0000000","0.0000000",NULL,NULL,NULL,"0.0000000",NULL,NULL
"0.0000000","IP-4700","1",,"IMP",,"Impresora de cd imprimible MARCA CANON",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"0.0000000","IPC-200","1",,"EXT",,"Extencion p/plancha",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,,"0.0000000",NULL,NULL
"4.8000000","IR2110jap","0",NULL,"IC",NULL,"Linear integrated circuit (CMOS-technology)",NULL,"Code39",NULL,"0.0000000",NULL,NULL,NULL,"G++","0.0000000",NULL,NULL
"0.0000000","IRF1010","1",,"TR",,"Transistor VERIFIQUE EL PRECIO",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2996
MOSFET, PWR, N-CH, 60V, 84A
","0.0000000",NULL,NULL
"0.0000000","IRF1404","1",,"TR",,"MOSFET N-CHANNEL POWER 162 AMP ULTRA LOW RDS(ON) TO-220",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2908
MOSFET N-CHANNEL POWER 162 AMP ULTRA LOW RDS(ON) TO-220
40V Single N-Channel HEXFET Power MOSFET","0.0000000",NULL,NULL
"3.2000000","IRF1404/O","0",,"TR",,"MOSFET N-CHANNEL POWER 162 AMP ULTRA LOW RDS(ON) TO-220",,"Code39","0.0000000","2.0000000","4.0000000","IVA13",,"G2908
MOSFET N-CHANNEL POWER 162 AMP ULTRA LOW RDS(ON) TO-220
40V Single N-Channel HEXFET Power MOSFET","0.0000000",NULL,NULL
"0.0000000","IRF1407","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G++
75V Single N-Channel HEXFET Power MOSFET","0.0000000",NULL,NULL
"0.0000000","IRF230","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2376","0.0000000",NULL,NULL
"2.0500000","IRF3205","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","6.0000000","IVA13",,"G2991
MOSFET-Power, N-Channel
","0.0000000",NULL,NULL
"2.0500000","IRF3205/O","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","6.0000000","IVA13",,"G2991
MOSFET-Power, N-Channel
","0.0000000",NULL,NULL
"0.0000000","IRF3710","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G++","0.0000000",NULL,NULL
"0.0000000","IRF530","1",,"TR",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G66","0.0000000",NULL,NULL
"1.6000000","IRF530/O","0",,"TR",,"MOSFET-POWER-N-CHAN,FAST SW,TO-220",,"Code39","0.0000000","2.0000000","4.0000000","IVA13",,"G66
STP606
MOSFET-POWER-N-CHAN,FAST SW,TO-220
irf530 -> BUK95180-100A
irf530 -> STP14NF12
irf5305S -> NTB25P06
irf530A -> IRF530N
irf530A -> STP18N10
irf530A -> STP14NF10
irf530N -> PHP18NQ10T
irf530N -> IRF530A
irf530N -> STP14NF10
irf530NS -> PHB18NQ10T
irf530NS -> STB14NF10T4 ","0.0000000",NULL,NULL
"0.0000000","IRF530A","1",,"TR",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2396","0.0000000",NULL,NULL
"0.0000000","IRF530FI","1",,"TR",,"Mosfet",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2942","0.0000000",NULL,NULL
"2.1500000","IRF540/O","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","6.0000000","IVA13",,"G2396
PWR MOSFET, N-CHANNEL, TO-220
","0.0000000",NULL,NULL
"0.0000000","IRF540gen.","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G2396
PWR MOSFET, N-CHANNEL, TO-220
","0.0000000",NULL,NULL
"0.0000000","IRF610","1",,"TR",,"Transistor",,"Code39","0.0000000","2.0000000","0.0000000","IVA13",,"G67
MOSFET-POWER-N-CHAN,FAST SW,TO-220
","0.0000000",NULL,NULL
